Layout, Timestamp, Words, word count, word len 0, word len 1, word len 2, word len 3, word len 4, target word, target word len,correct, history, gaze duration, tap duration
COLUMN,Saturday- May 30- 2020-7:17:11 PM,protect	reduce	consider			,5,7,6,8,0,0,reduce,6,T,1,369.070,310.823
COLUMN,Saturday- May 30- 2020-7:17:15 PM,project	news				,5,7,4,0,0,0,news,4,T,8,1779.901,133.414
COLUMN,Saturday- May 30- 2020-7:17:20 PM,where	too	time	clearly	dinner	,5,5,3,4,7,6,clearly,7,T,3,620.317,421.094
COLUMN,Saturday- May 30- 2020-7:17:24 PM,trial					,5,5,0,0,0,0,trial,5,T,0,55.850,455.799
COLUMN,Saturday- May 30- 2020-7:17:27 PM,individual	risk	learn	but	should	,5,10,4,5,3,6,should,6,T,4,606.379,426.368
COLUMN,Saturday- May 30- 2020-7:17:31 PM,seven	list	medical			,5,5,4,7,0,0,list,4,T,2,492.994,382.977
COLUMN,Saturday- May 30- 2020-7:17:35 PM,chance	sell	choice	lay	worker	,5,6,4,6,3,6,choice,6,T,7,1634.930,436.833
COLUMN,Saturday- May 30- 2020-7:17:40 PM,fish	dark	candidate	audience		,5,4,4,9,8,0,audience,8,T,2,572.383,347.071
COLUMN,Saturday- May 30- 2020-7:17:44 PM,Democrat					,5,8,0,0,0,0,Democrat,8,T,1,10.970,462.763
COLUMN,Saturday- May 30- 2020-7:17:48 PM,painting	die	kid	its		,5,8,3,3,3,0,die,3,T,2,266.288,439.277
COLUMN,Saturday- May 30- 2020-7:17:51 PM,lie					,5,3,0,0,0,0,lie,3,T,1,23.934,434.786
COLUMN,Saturday- May 30- 2020-7:17:55 PM,much	fly	everybody	significant	trade	,5,4,3,9,11,5,trade,5,T,2,575.461,374.997
COLUMN,Saturday- May 30- 2020-7:17:59 PM,stop	through	serve			,5,4,7,5,0,0,through,7,T,3,828.140,359.038
COLUMN,Saturday- May 30- 2020-7:18:03 PM,worry	already	red			,5,5,7,3,0,0,red,3,T,3,896.202,190.491
COLUMN,Saturday- May 30- 2020-7:18:07 PM,positive	important	black	character		,5,8,9,5,9,0,black,5,T,3,1161.956,392.948
COLUMN,Saturday- May 30- 2020-7:18:12 PM,letter	write	manage	wife	authority	,5,6,5,6,4,9,authority,9,T,4,786.272,348.104
COLUMN,Saturday- May 30- 2020-7:18:16 PM,opportunity	result	we	want	kind	,5,11,6,2,4,4,we,2,T,1,336.100,516.145
COLUMN,Saturday- May 30- 2020-7:18:20 PM,walk					,5,4,0,0,0,0,walk,4,T,1,23.936,445.931
COLUMN,Saturday- May 30- 2020-7:18:23 PM,mission	describe				,5,7,8,0,0,0,describe,8,T,2,607.890,389.957
COLUMN,Saturday- May 30- 2020-7:18:27 PM,race	despite	trouble			,5,4,7,7,0,0,despite,7,T,2,417.601,378.992
COLUMN,Saturday- May 30- 2020-7:18:31 PM,several	help	meet			,5,7,4,4,0,0,meet,4,T,2,618.942,364.801
COLUMN,Saturday- May 30- 2020-7:18:35 PM,key	model	former	within	deal	,5,3,5,6,6,4,deal,4,T,3,872.178,325.642
COLUMN,Saturday- May 30- 2020-7:18:39 PM,free	goal	language	move	lawyer	,5,4,4,8,4,6,goal,4,T,1,472.000,314.157
COLUMN,Saturday- May 30- 2020-7:18:43 PM,mean					,5,4,0,0,0,0,mean,4,T,1,11.968,473.744
COLUMN,Saturday- May 30- 2020-7:18:47 PM,simple	political	card			,5,6,9,4,0,0,political,9,T,2,593.902,358.043
COLUMN,Saturday- May 30- 2020-7:18:51 PM,trial	stuff	item			,5,5,5,4,0,0,stuff,5,T,4,794.810,469.734
COLUMN,Saturday- May 30- 2020-7:18:55 PM,throw					,5,5,0,0,0,0,throw,5,T,1,23.936,427.621
COLUMN,Saturday- May 30- 2020-7:18:58 PM,drive	remain	rich	strong	appear	,5,5,6,4,6,6,remain,6,T,1,670.392,372.011
COLUMN,Saturday- May 30- 2020-7:19:02 PM,receive	guy	manager	break	sister	,5,7,3,7,5,6,sister,6,T,4,678.931,403.919
COLUMN,Saturday- May 30- 2020-7:19:07 PM,fail	lawyer	nice	successful	amount	,5,4,6,4,10,6,amount,6,T,3,746.771,416.398
COLUMN,Saturday- May 30- 2020-7:19:11 PM,great	minute				,5,5,6,0,0,0,minute,6,T,1,403.939,391.951
COLUMN,Saturday- May 30- 2020-7:19:15 PM,recent	mother	because	finger	home	,5,6,6,7,6,4,because,7,T,6,1230.816,500.178
COLUMN,Saturday- May 30- 2020-7:19:19 PM,civil	doctor	center	executive	across	,5,5,6,6,9,6,center,6,T,3,563.050,413.892
COLUMN,Saturday- May 30- 2020-7:19:23 PM,throw	yard	develop	wall	would	,5,5,4,7,4,5,wall,4,T,3,641.286,468.337
COLUMN,Saturday- May 30- 2020-7:19:27 PM,billion	gun	animal	sell		,5,7,3,6,4,0,sell,4,T,4,983.371,392.953
COLUMN,Saturday- May 30- 2020-7:19:32 PM,loss	take				,5,4,4,0,0,0,take,4,T,1,337.099,517.283
COLUMN,Saturday- May 30- 2020-7:19:36 PM,garden	plan	tend	thank	ability	,5,6,4,4,5,7,plan,4,T,0,11.967,626.348
COLUMN,Saturday- May 30- 2020-7:19:39 PM,interview	hope	side	inside	in	,5,9,4,4,6,2,inside,6,T,2,705.114,528.632
COLUMN,Saturday- May 30- 2020-7:19:44 PM,white	may	really	poor	period	,5,5,3,6,4,6,really,6,T,2,485.701,501.034
COLUMN,Saturday- May 30- 2020-7:19:48 PM,now	mother	their	peace	wonder	,5,3,6,5,5,6,their,5,T,2,458.246,527.250
COLUMN,Saturday- May 30- 2020-7:19:52 PM,benefit	buy	enough	smile	fund	,5,7,3,6,5,4,smile,5,T,4,892.121,462.816
COLUMN,Saturday- May 30- 2020-7:19:56 PM,morning	matter	professor			,5,7,6,9,0,0,matter,6,T,1,300.284,427.377
COLUMN,Saturday- May 30- 2020-7:20:00 PM,most	wait	full	her		,5,4,4,4,3,0,full,4,T,2,488.693,427.857
COLUMN,Saturday- May 30- 2020-7:20:04 PM,near	Mr	word	east		,5,4,2,4,4,0,east,4,T,2,390.955,565.297
COLUMN,Saturday- May 30- 2020-7:20:08 PM,degree	come	girl	remain	speak	,5,6,4,4,6,5,girl,4,T,3,625.836,417.467
COLUMN,Saturday- May 30- 2020-7:20:12 PM,western	whole	dog	interesting	period	,5,7,5,3,11,6,interesting,11,T,1,436.832,449.798
